year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2015,1,1032300,33300,31,0,999316,32984,8.28399799018132,2.48642347129395,7.41269841269841,23.6666666666667,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_01.csv.gz
2015,2,932400,33300,28,0,902608,29792,8.70306127014552,2.72972967143157,8,21.4220784543326,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_02.csv.gz
2015,3,1032300,33300,31,0,999316,32984,7.55515738888898,2.23178416401699,7,17.9569938229238,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_03.csv.gz
2015,4,999000,33300,30,0,967080,31920,6.49860909841748,2,6,15.3333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_04.csv.gz
2015,5,1032300,33300,31,0,999316,32984,7.87528865920446,2.01086956521739,7.35366948373254,17.9785816326531,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_05.csv.gz
2015,6,999000,33300,30,0,967080,31920,8.27038527587644,2,7.53333333333333,20.7901250355215,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_06.csv.gz
2015,7,1032300,33300,31,0,999316,32984,9.64532699627058,2.07421849798387,9.27338129496403,21.5,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_07.csv.gz
2015,8,1032300,33300,31,0,999316,32984,8.70717081846502,2.19811290614263,8,23.9526661974646,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_08.csv.gz
2015,9,999000,33300,30,0,967080,31920,8.04664343937843,2,7.0188679245283,20.6666666666667,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_09.csv.gz
2015,10,1032300,33300,31,0,999316,32984,6.57557472844969,1.60606060606061,6,15.448469072165,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_10.csv.gz
2015,11,999000,33300,30,0,967080,31920,6.95029397470108,1.84615384615385,6.5,16.7688480865868,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_11.csv.gz
2015,12,1032300,33300,31,0,999316,32984,7.43463862222567,1.61914792299899,6.51,19.7142857142857,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2015_12.csv.gz
